A1/B1 Peak,A1/B1 OffPeak,A1/B1 Aircraft,A1/C1 Peak,A1/C1 OffPeak,A1/C1 Aircraft,A1/D1 Peak,A1/D1 OffPeak,A1/D1 Aircraft,A1/B1 Round1 Price1,A1/C1 Round1 Price1,A1/D1 Round1 Price1,A1/B1 Round1 Price2,A1/C1 Round1 Price2,A1/D1 Round1 Price2,A1/B1 Round1 Price3,A1/C1 Round1 Price3,A1/D1 Round1 Price3,A1/B1 Round2 Price1,A1/C1 Round2 Price1,A1/D1 Round2 Price1,A1/B1 Round2 Price2,A1/C1 Round2 Price2,A1/D1 Round2 Price2,A1/B1 Round2 Price3,A1/C1 Round2 Price3,A1/D1 Round2 Price3
2,3,Br857,2,3,Br857,1,1,Al440,50,45,60,75,70,95,100,100,100,50,45,60,75,70,95,100,110,120
2,3,Br857,2,3,Br857,1,1,Al440,40,45,60,75,70,95,100,100,100,40,45,60,75,70,95,100,110,120
